PROJ_NAME,TRACK_GROUP,TRACK,DOMAIN,TASK,,,
Alkermes,TOOLS DOMAIN,Tools,Powershell,Packet Loss ,,,
Alkermes,TOOLS DOMAIN,Tools,Powershell,Nimsoft License Reporting,,,
Alkermes,STORAGE AND BACKUP DOMAIN,Storage,Powershell,Logs & Alert monitoring,,,
Alkermes,STORAGE AND BACKUP DOMAIN,Storage,Powershell,Monitoring System processes & logs,,,
Alkermes,STORAGE AND BACKUP DOMAIN,Storage,Powershell,De-duplication Management,,,
Alkermes,STORAGE AND BACKUP DOMAIN,Storage,Powershell,Configuration Monitoring,,,
Alkermes,STORAGE AND BACKUP DOMAIN,Storage,Powershell,Auto-support Configuration,,,
Alkermes,UNIX DOMAIN,UNIX & Linux,ShellScript,Add/modify/delete users,,,
Alkermes,WINTEL DOMAIN,Wintel,Powershell,High CPU Utilization,,,
Alkermes,UNIX DOMAIN,UNIX & Linux,Powershell,Memory Utilization,,,
Alkermes,UNIX DOMAIN,UNIX & Linux,ShellScript,Reset locked/unlock user account,,,
Alkermes,UNIX DOMAIN,UNIX & Linux,ShellScript,Add/Remove/modify groups,,,
Alkermes,UNIX DOMAIN,UNIX & Linux,ShellScript,Administating File and Directory & Special permissions,,,
Alkermes,UNIX DOMAIN,UNIX & Linux,ShellScript,Add/Remove/Modify Filesystem,,,
Alkermes,UNIX DOMAIN,UNIX & Linux,ShellScript,Check print queues,,,
Alkermes,UNIX DOMAIN,UNIX & Linux,ShellScript,Create/Delete/Modifiy print queues,,,
Alkermes,UNIX DOMAIN,UNIX & Linux,ShellScript,Start and Stop the LP Print Service,,,
Alkermes,DATABASE DOMAIN,SQL DBA,Powershell,Application DBA account,,,
Alkermes,DATABASE DOMAIN,SQL DBA,Powershell,All other accounts,,,
Alkermes,DATABASE DOMAIN,SQL DBA,Powershell,Grant access rights on SYS and non-SYS objects,,,
Alkermes,DATABASE DOMAIN,SQL DBA,ShellScript,Monitor database log files for errors.,,,
Alkermes,DATABASE DOMAIN,SQL DBA,ShellScript,Monitor database backups,,,
Alkermes,DATABASE DOMAIN,SQL DBA,ShellScript,Monitor database related OS/network  parameters,,,
Alkermes,DATABASE DOMAIN,SQL DBA,ShellScript,Monitor free space availability on the database server,,,
Alkermes,DATABASE DOMAIN,SQL DBA,Powershell,Monitor growth rate of database objects and proactively resolve space related errors.,,,
Alkermes,DATABASE DOMAIN,SQL DBA,Powershell,Monitor RDBMS log files and archive them in a timely fashion,,,
Alkermes,DATABASE DOMAIN,SQL DBA,Powershell,Monitor mount points to keep free space available on which RDBMS files and database files are located.,,,
Alkermes,DATABASE DOMAIN,SQL DBA,Powershell,"Ensure availability of instance/database, listeners, log files, space of log files, and other RDBMS related processes.",,,
Alkermes,DATABASE DOMAIN,SQL DBA,Powershell,Perform re-indexing as necessary to improve database performance.,,,
Alkermes,DATABASE DOMAIN,SQL DBA,Powershell,Monitor database backup and resolve failed backups.,,,
Alkermes,DATABASE DOMAIN,SQL DBA,Powershell,Perform refresh/cloning/rebuilding of database ,,,
Alkermes,DATABASE DOMAIN,SQL DBA,Powershell,Application DBA account,,,
Alkermes,DATABASE DOMAIN,SQL DBA,Powershell,Monitor database log files for errors.,,,
Alkermes,DATABASE DOMAIN,SQL DBA,ShellScript,Monitor database backups,,,
Alkermes,DATABASE DOMAIN,SQL DBA,ShellScript,Monitor database related OS/network  parameters,,,
Alkermes,DATABASE DOMAIN,SQL DBA,ShellScript,Monitor free space availability on the database server,,,
Alkermes,DATABASE DOMAIN,SQL DBA,ShellScript,Monitor growth rate of database objects and proactively resolve space related errors.,,,
